pickup_year,pickup_month,pickup_day,trip_distance,RatecodeID,pickup_location,dropoff_location,fare_amount,extra,mta_tax,tolls_amount,improvement_surcharge,tip_amount,total_amount,payment_type,
2016,9,4,6.89,1,100,168,22,0.5,0.5,0,0.3,0,23.3,2,
2016,9,4,2.24,1,50,238,9.5,0.5,0.5,0,0.3,1.08,11.88,1,
2016,9,4,0.75,1,79,107,5,0.5,0.5,0,0.3,1,7.3,1,
2016,9,4,2.5,1,230,236,9,0.5,0.5,0,0.3,0,10.3,1,
2016,9,4,2.7,1,163,79,12,0.5,0.5,0,0.3,3,16.3,1,
2016,9,4,0.7,1,79,148,4.5,0.5,0.5,0,0.3,0,5.8,2,
2016,9,4,1.07,1,50,161,7,0.5,0.5,0,0.3,2.08,10.38,1,
2016,9,4,1.76,1,234,230,8,0.5,0.5,0,0.3,0,9.3,2,
2016,9,4,2.58,1,114,230,11,0.5,0.5,0,0.3,3.08,15.38,1,
2016,9,4,1.53,1,79,234,8.5,0.5,0.5,0,0.3,0,9.8,2,
2016,9,4,4.5,1,148,48,17,0.5,0.5,0,0.3,0,18.3,1,
2016,9,4,1.62,1,263,162,7.5,0.5,0.5,0,0.3,1.76,10.56,1,
2016,9,4,5.7,1,249,7,19.5,0.5,0.5,0,0.3,4,24.8,1,
2016,9,4,1.1,1,48,142,6.5,0.5,0.5,0,0.3,0,7.8,2,
